ac_no,ac_name,male_electors,female_electors,other_electors,total_electors,male_voters,female_voters,other_voters,votes_polled,turnout_percentage
152,BORIVALI,165268,160464,2,325734,104351,98633,1,202985,62.32
153,DAHISAR,147467,130399,49,277915,85613,76481,11,162105,58.330000000000005
154,MAGATHANE,164763,139862,2,304627,96840,83968,1,180809,59.35
155,MULUND,151298,145367,22,296687,93971,88253,14,182238,61.419999999999995
156,VIKHROLI,127334,116200,1,243535,73957,66337,1,140295,57.60999999999999
157,BHANDUP WEST,155239,133015,32,288286,98196,83071,12,181279,62.88
158,JOGESHWARI EAST,157391,141614,10,299015,93122,83761,7,176890,59.160000000000004
159,DINDOSHI,173540,132938,24,306502,98789,78208,12,177009,57.75
160,KANDIVALI EAST,156580,130313,5,286898,85531,71601,2,157134,54.769999999999996
161,CHARKOP,171006,146392,18,317416,98597,84733,7,183337,57.76
162,MALAD WEST,188490,169084,345,357919,102741,93662,62,196465,54.89000000000001
163,GOREGAON,177783,151416,13,329212,98256,84813,3,183072,55.61000000000001
164,VERSOVA,153932,132776,3,286711,78790,68697,0,147487,51.44
165,ANDHERI WEST,148846,139272,7,288125,79692,74942,2,154636,53.669999999999995
166,ANDHERI EAST,153814,134335,1,288150,89269,78652,0,167921,58.28
167,VILE PARLE,142655,132670,0,275325,81161,75704,0,156865,56.97
168,CHANDIVALI,253526,199458,19,453003,131202,108532,5,239739,52.92
169,GHATKOPAR WEST,147823,129589,120,277532,88755,77698,46,166499,59.99
170,GHATKOPAR EAST,130072,119445,22,249539,77586,71086,11,148683,59.58
171,MANKHURD SHIVAJI NAGAR,187192,146898,46,334136,95447,78747,17,174211,52.14
172,ANUSHAKTI NAGAR,143844,125194,31,269069,75656,69727,23,145406,54.04
173,CHEMBUR,135131,123806,10,258947,73956,68376,6,142338,54.97
174,KURLA,157481,134734,13,292228,82948,72365,6,155319,53.15
175,KALINA,129157,112568,12,241737,67723,59623,10,127356,52.68000000000001
176,VANDRE EAST,131956,117127,21,249104,72691,63432,8,136131,54.65
177,VANDRE WEST,149869,138867,10,288746,75749,72552,3,148304,51.35999999999999
178,DHARAVI,145856,115975,38,261869,71176,59832,12,131020,50.029999999999994
179,SION KOLIWADA,156232,126961,78,283271,82383,69314,14,151711,53.559999999999995
180,WADALA,105551,99834,2,205387,61396,57048,1,118445,57.67
181,MAHIM,112875,112998,78,225951,67352,65964,27,133343,59.01
182,WORLI,144501,120013,6,264520,75699,65882,4,141585,53.53
183,SHIVADI,147259,128120,5,275384,80848,72028,4,152880,55.52
184,BYCULLA,137460,121389,7,258856,72576,64665,3,137244,53.02
185,MALABAR HILL,135376,125774,12,261162,71349,65844,2,137195,52.53
186,MUMBADEVI,129639,112311,9,241959,63568,54414,4,117986,48.76
187,COLABA,151155,114087,9,265251,63827,54058,5,117890,44.440000000000005
