district_no,district_name,pc_no,pc_name,ac_no,ac_name,male,female,third_gender,total,votes_polled,nota,postal_ballots,total1,voter_turnout
1,Mumbai Suburban,26.0,Mumbai North,152,Borivali,162305,156559,2,318866,196203,3111,2892.0,202206,63.41409871231175
1,Mumbai Suburban,,,153,Dhaisar,145637,127924,45,273606,156981,2047,,161920,59.17998874293693
1,Mumbai Suburban,,,154,Magathane,161251,134272,2,295525,161819,2663,,167374,56.63615599357077
1,Mumbai Suburban,,,160,Kandivali East,153515,125796,6,279317,150373,1786,,155051,55.510763755875935
1,Mumbai Suburban,,,161,Charkop,166595,140714,18,307327,174871,2103,,179866,58.525934916229296
1,Mumbai Suburban,,,162,Malad West,179680,157281,340,337301,179008,1538,,183438,54.38406645696278
1,Mumbai Suburban,27.0,Mumbai North West,158,Jogeshwari East,154524,137480,10,292014,162654,4131,3232.0,170017,58.22220852424884
1,Mumbai Suburban,,,159,Dindoshi,169287,127130,26,296443,160159,2194,,165585,55.85728116366384
1,Mumbai Suburban,,,163,Goregaon,172856,145142,13,318011,170915,2502,,176649,55.548078525585595
1,Mumbai Suburban,,,164,Varsova,148031,125280,3,273314,143587,1678,,148497,54.33201372780025
1,Mumbai Suburban,,,165,Andheri West,142926,131728,7,274661,145214,2143,,150589,54.82722337718132
1,Mumbai Suburban,,,166,Andheri East,150741,129903,1,280645,154017,2388,,159637,56.882182116196624
1,Mumbai Suburban,28.0,Mumbai North East,155,Mulund,149915,143124,23,293062,177264,2482,4128.0,183874,62.74235486006374
1,Mumbai Suburban,,,156,Vikhroli,125247,113108,1,238356,128100,1676,,133904,56.178153686083
1,Mumbai Suburban,,,157,Bhandup West,152039,127840,32,279911,161790,2047,,167965,60.00657351801109
1,Mumbai Suburban,,,169,Ghatkopar West,144998,125069,120,270187,149567,1466,,155161,57.427263339835
1,Mumbai Suburban,,,170,Ghatkopar East,127948,116486,21,244455,139785,1621,,145534,59.53406557444111
1,Mumbai Suburban,,,171,Mankhurd shivajinagar,177708,133172,39,310919,155662,796,,160586,51.648821718839955
1,Mumbai Suburban,29.0,Mumbai North central,167,Vile Parle,140316,129377,0,269693,149022,2034,3249.0,154305,57.21505563733579
1,Mumbai Suburban,,,168,Chandivali,241314,184545,15,425874,208753,1775,,213777,50.19724143760831
1,Mumbai Suburban,,,174,Kurla (SC),153906,129071,11,282988,145413,1356,,150018,53.012141857605265
1,Mumbai Suburban,,,175,Kalina,128100,110857,11,238968,122488,1480,,127217,53.235998125272
1,Mumbai Suburban,,,176,Vandre East,130759,113992,19,244770,126562,1303,,131114,53.566205008783754
1,Mumbai Suburban,,,177,Vandre West,146893,134933,9,281835,145326,1717,,150292,53.326236982631684
1,Mumbai Suburban,30.0,Mumbai South central,172,Anushakti Nagar,142635,122582,32,265249,141901,2072,4079.0,148052,55.816233048946465
1,Mumbai Suburban,,,173,Chembur,133623,121454,9,255086,133827,2582,,140488,55.07475910085227
2,Mumbai City,,,178,Dharavi (SC),142145,111034,37,253216,121105,1763,,126947,50.13387779603185
2,Mumbai City,,,179,Sion Koliwada,153141,122061,77,275279,139711,2419,,146209,53.11302351432546
2,Mumbai City,,,180,Wadala,104296,97958,2,202256,113405,2106,,119590,59.12803575666482
2,Mumbai City,,,181,Mahim,111827,111427,65,223319,127073,2374,,133526,59.791598565281056
2,Mumbai City,31.0,Mumbai South,182,Worli,142848,117126,4,259978,128306,2507,3769.0,134582,51.766687950518886
2,Mumbai City,,,183,Shivadi,145932,125429,5,271366,138164,2564,,144497,53.248011910114016
2,Mumbai City,,,184,Byculla,134526,117389,7,251922,131131,1672,,136572,54.21201800557315
2,Mumbai City,,,185,Malabar Hill,133331,123557,11,256899,129884,3110,,136763,53.236096676125634
2,Mumbai City,,,186,Mumbadevi,127127,109094,8,236229,116980,1220,,121969,51.631679429705926
2,Mumbai City,,,187,Colaba,148796,110970,8,259774,111468,2217,,117454,45.21391671221908
